"audit_date","category","workflow_step","route_or_file","api_process","provider","api_or_sdk_call","model_name","required_or_optional","trigger_condition","estimated_input_tokens_or_units","estimated_output_tokens_or_units","unit_price_basis_usd","approx_usd_per_call","storage_db_payment_cost","source_files","pricing_source_url","assumptions_and_notes","paid_models_optimizable_by_comfy","comfy_tier_1_best_models","comfy_tier_2_second_options","comfy_tier_3_last_options"
"6/26/26","Image generation","Generate character pose/reference image","/api/generate-character-pose","Generate a character pose, ref-locked angle, full sheet, or refinement","Google Gemini image generation","GoogleGenerativeAI.getGenerativeModel(...).generateContent({ responseModalities: ['IMAGE'] })","GOOGLE_CHARACTER_IMAGE_MODEL or GOOGLE_IMAGE_MODEL or gemini-3-pro-image-preview","Optional","~4,000-15,000 multimodal input tokens depending refs","1 generated image","Gemini 3 Pro Image: input $2.00/M tokens + $0.134 per image","~$0.14-$0.17","No persistence in route response","src/app/api/generate-character-pose/route.js; src/utils/googleModelFallbacks.js","https://ai.google.dev/gemini-api/docs/pricing","Ref-locked and refinement modes may include prior generated images as input tokens.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Image generation","Generate character pose two-stage master","/api/generate-character-pose","Two-stage master generation path creates two image generations","Google Gemini image generation","Two sequential generateContent image calls","GOOGLE_CHARACTER_IMAGE_MODEL or GOOGLE_IMAGE_MODEL or gemini-3-pro-image-preview","Optional mode","~8,000-30,000 multimodal input tokens across two calls","2 generated images","Gemini 3 Pro Image: input $2.00/M tokens + $0.134 per image","~$0.28-$0.34","No persistence in route response","src/app/api/generate-character-pose/route.js","https://ai.google.dev/gemini-api/docs/pricing","Count as two image-generation calls when this mode is selected.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Image generation","Generate location image","/api/generate-location-image","Generate location sheet, ref-locked view, or refinement","Google Gemini image generation","GoogleGenerativeAI.getGenerativeModel(...).generateContent({ responseModalities: ['IMAGE'] })","GOOGLE_LOCATION_IMAGE_MODEL or GOOGLE_IMAGE_MODEL or gemini-3-pro-image-preview","Optional","~4,000-15,000 multimodal input tokens depending refs","1 generated image","Gemini 3 Pro Image: input $2.00/M tokens + $0.134 per image","~$0.14-$0.17","No persistence in route response","src/app/api/generate-location-image/route.js; src/utils/googleModelFallbacks.js","https://ai.google.dev/gemini-api/docs/pricing","Full sheet, ref-locked view, and refinement are separate one-image calls.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Wardrobe generation","Generate wardrobe outfit descriptions","/api/generate-wardrobe-outfit","Create outfit ideas/JSON from character, location, and style context","Google Gemini API","GoogleGenerativeAI.getGenerativeModel(...).generateContent([systemPrompt,userPrompt])","GOOGLE_TEXT_MODEL or gemini-2.5-flash","Optional","~12,000 text input tokens","~2,500 JSON/text output tokens","Gemini 2.5 Flash: input $0.30/M, output $2.50/M","~$0.010","None","src/app/api/generate-wardrobe-outfit/route.js","https://ai.google.dev/gemini-api/docs/pricing","Text-only outfit planning; image generation is separate below.","","Gemini text/script/KB models can be reduced or replaced with local ComfyUI LLM workflows","Qwen3.5-9B, Qwen3-4B-Thinking, Qwen3.5-4B","Qwen3-4B, Mistral-Small-3.2-24B-Instruct via Ollama/LM Studio nodes, Llama-3.3-70B-Instruct via Ollama/LM Studio nodes","Qwen3.5-2B, Phi-4-mini-instruct via Ollama/LM Studio nodes, Gemma-3-4B-it via Ollama/LM Studio nodes"
"6/26/26","Wardrobe generation","Generate wardrobe image sheet","/api/generate-wardrobe-image","Generate 21:9 wardrobe sheet with up to 3 character refs; upload result","Google Gemini image generation plus Supabase admin storage","GoogleGenerativeAI.getGenerativeModel(...).generateContent({ responseModalities: ['IMAGE'] }); supabase.storage.from('assets').upload","gemini-3-pro-image-preview primary, optional image fallback list","Optional","~5,000-16,000 multimodal input tokens","1 generated image","Gemini 3 Pro Image: input $2.00/M tokens + $0.134 per image","~$0.14-$0.17","Supabase Storage upload and bandwidth if configured","src/app/api/generate-wardrobe-image/route.js; src/utils/supabase-admin.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","Fallback helper currently uses only the first model, so do not multiply by fallback list unless code changes to retry.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Shot image generation","Generate shot image with Google, simple/no strict refs","/api/generate-shot-image","Generate one storyboard/shot image using Google image model","Google Gemini image generation plus Supabase admin storage","ai.models.generateContent({ responseModalities: ['IMAGE'] }); supabase.storage.from('assets').upload","model request param or GOOGLE_IMAGE_MODEL or gemini-3-pro-image-preview","Optional backend-ready route","~5,000-12,000 multimodal input tokens","1 generated image","Gemini 3 Pro Image: input $2.00/M tokens + $0.134 per image","~$0.14-$0.16","Supabase Storage upload and bandwidth if configured","src/app/api/generate-shot-image/route.js; src/app/api/generate-shot-image/promptBuilder.js; src/app/api/generate-shot-image/referenceImages.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","This is the lowest Google path when strict reference locking and QC candidate loop are not used.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Shot image generation","Generate shot image with Google strict refs and QC","/api/generate-shot-image","Generate up to quality candidates and run Gemini QC against refs","Google Gemini image generation + Gemini text/vision QC + Supabase admin storage","2 image generateContent calls by default; qualityCheck ai.models.generateContent calls; storage upload","Image: gemini-3-pro-image-preview default; QC: GOOGLE_QUALITY_CHECK_MODEL or gemini-2.5-flash","Optional but default when character/wardrobe refs and strict lock are present","~10,000-30,000 multimodal input tokens per candidate plus QC image/ref tokens","Default up to 2 generated candidate images + 2 QC text outputs + optional final anchor QC","Image: $2/M input + $0.134/image; QC: Gemini 2.5 Flash $0.30/M input + $2.50/M output","~$0.30-$0.36 typical with 2 candidates and QC; lower if first candidate and settings reduce count","Supabase Storage upload and bandwidth if configured","src/app/api/generate-shot-image/route.js; src/app/api/generate-shot-image/qualityCheck.js; src/app/api/generate-shot-image/shotImageConstants.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","QUALITY_CANDIDATE_COUNT defaults to 2 with refs. Cost can drop if first candidate passes early, but route can still create multiple candidates.","","Gemini image generation plus Gemini QC can be reduced with ComfyUI generation, VLM QC, and segmentation checks","FLUX.2-Dev, Qwen-Image-Edit-2511, Qwen3.5-9B, SAM2","Qwen-Image, FLUX.1-Kontext-dev, Qwen2.5-VL-32B-Instruct, GroundingDINO","FLUX.1-schnell, SDXL, Florence-2-large, CLIPSeg"
"6/26/26","Shot image generation","Generate shot image Google repair pass","/api/generate-shot-image","Optional repair generation and repair QC after final anchor QC failure","Google Gemini image generation + Gemini QC","Additional image generateContent call plus QC generateContent","Image: gemini-3-pro-image-preview default; QC: GOOGLE_QUALITY_CHECK_MODEL or gemini-2.5-flash","Optional failure path","~5,000-20,000 extra multimodal input tokens","1 extra generated image + 1 extra QC output","Image: $2/M input + $0.134/image; QC: Gemini 2.5 Flash pricing","Add ~$0.14-$0.18","Supabase storage only for final selected upload","src/app/api/generate-shot-image/route.js; src/app/api/generate-shot-image/qualityCheck.js","https://ai.google.dev/gemini-api/docs/pricing","Include this optional row for worst-case shot-image budgeting.","","Gemini image generation plus Gemini QC can be reduced with ComfyUI generation, VLM QC, and segmentation checks","FLUX.2-Dev, Qwen-Image-Edit-2511, Qwen3.5-9B, SAM2","Qwen-Image, FLUX.1-Kontext-dev, Qwen2.5-VL-32B-Instruct, GroundingDINO","FLUX.1-schnell, SDXL, Florence-2-large, CLIPSeg"
"6/26/26","Shot image generation","Generate shot image with ByteDance Seedream","/api/generate-shot-image","Generate one shot image through ByteDance/ModelArk Seedream path","BytePlus ModelArk / ByteDance","fetch(BYTEDANCE_IMAGE_BASE_URL + '/images/generations')","seedream-4-0-250828","Optional provider selection","Prompt text only to provider; refs and QC skipped by this route path","1 generated image","Official ModelArk Seedream 4.0 listed at ~$0.03 per image generated","~$0.030","Supabase Storage upload and bandwidth if configured","src/app/api/generate-shot-image/bytedanceProvider.js; src/utils/generationModels.js; .env.example","https://docs.byteplus.com/en/docs/ModelArk/1544106","Route uses BYTEDANCE_API_KEY, ARK_API_KEY, or SEEDANCE_API_KEY. It currently skips reference-image locking and Gemini QC for this provider path.","","Gemini image generation and Seedream image API can be reduced or replaced with ComfyUI image workflows","FLUX.2-Dev, Qwen-Image-2512, Qwen-Image-Edit-2511, FLUX.1-Krea-dev","Qwen-Image, Qwen-Image-Edit, FLUX.1-dev, FLUX.1-Kontext-dev, HiDream-I1-Full","FLUX.2-Klein, FLUX.1-schnell, Stable-Diffusion-3.5-Large, SDXL"
"6/26/26","Shot video generation","Generate shot video with Veo 3.1","/api/generate-shot-video","Generate one video from prompt and optional source image, poll operation, download, upload","Google Gemini/Veo API plus Supabase admin storage","ai.models.generateVideos; ai.operations.getVideosOperation; fetch(generatedVideo.uri); supabase.storage.from('assets').upload","veo-3.1-generate-preview default","Optional backend-ready route","Prompt plus optional source image; video billing is seconds-based","4s, 6s, or 8s video","Veo 3.1: $0.40/sec","4s $1.60; 6s $2.40; 8s $3.20","Supabase Storage upload and video bandwidth if configured","src/app/api/generate-shot-video/route.js; src/app/api/generate-shot-video/videoRouteHelpers.js; src/utils/generationModels.js","https://ai.google.dev/gemini-api/docs/pricing; https://supabase.com/pricing","Route normalizes Veo durations to 4/6/8 seconds and generates one video.","","Veo and Seedance video usage can be reduced with ComfyUI draft/previs and local final generation workflows","Wan2.2-I2V-A14B, Wan2.2-T2V-A14B, LTX-2.3-22B-dev","Wan2.2-TI2V-5B, HunyuanVideo, LTX-2.0, CogVideoX-5B","LTX-0.9.5, Mochi-1, Stable-Video-Diffusion-XT, AnimateDiff"
"6/26/26","Shot video generation","Generate shot video with Veo 3.1 Fast","/api/generate-shot-video","Lower-cost Veo generation path","Google Gemini/Veo API plus Supabase admin storage","ai.models.generateVideos; ai.operations.getVideosOperation; video download/upload","veo-3.1-fast-generate-preview","Optional provider/model selection","Prompt plus optional source image; video billing is seconds-based","4s, 6s, or 8s video at 720p by default; 8s 1080p possible when requested","Veo 3.1 Fast: $0.10/sec at 720p, $0.15/sec at 1080p","720p: 4s $0.40, 6s $0.60, 8s $0.80; 1080p 8s ~$1.20","Supabase Storage upload and video bandwidth if configured","src/app/api/generate-shot-video/route.js; src/utils/generationModels.js","https://ai.google.dev/gemini-api/docs/pricing","Current Google pricing is lower than older cached estimates. Route sets 720p except when 8s and 1080p are requested.","","Veo and Seedance video usage can be reduced with ComfyUI draft/previs and local final generation workflows","Wan2.2-I2V-A14B, Wan2.2-T2V-A14B, LTX-2.3-22B-dev","Wan2.2-TI2V-5B, HunyuanVideo, LTX-2.0, CogVideoX-5B","LTX-0.9.5, Mochi-1, Stable-Video-Diffusion-XT, AnimateDiff"
"6/26/26","Shot video generation","Generate shot video with older Veo 3.0 fallback","/api/generate-shot-video","Legacy fallback model if selected/configured","Google Gemini/Veo API plus Supabase admin storage","ai.models.generateVideos; polling; download/upload","veo-3.0-generate-001 or veo-3.0-fast-generate-001","Optional fallback list / env override","Prompt plus optional source image; video billing is seconds-based","4s, 6s, or 8s video","Veo 3.0 standard listed at $0.75/sec; Veo 3.0 Fast pricing/account availability should be verified because Veo 3 deprecates on 2026-06-30","Standard: 4s $3.00, 6s $4.50, 8s $6.00; Fast likely current fast tier if still available","Supabase Storage upload and video bandwidth if configured","src/utils/googleModelFallbacks.js; src/app/api/generate-shot-video/route.js","https://ai.google.dev/gemini-api/docs/pricing","Do not plan new production usage on older Veo 3.0 SKUs without confirming availability after 2026-06-30.","","Veo and Seedance video usage can be reduced with ComfyUI draft/previs and local final generation workflows","Wan2.2-I2V-A14B, Wan2.2-T2V-A14B, LTX-2.3-22B-dev","Wan2.2-TI2V-5B, HunyuanVideo, LTX-2.0, CogVideoX-5B","LTX-0.9.5, Mochi-1, Stable-Video-Diffusion-XT, AnimateDiff"
"6/26/26","Shot video generation","Veo audio-safe retry","/api/generate-shot-video","Retry video generation once when Veo safety/audio filter blocks output","Google Gemini/Veo API","Second ai.models.generateVideos operation","Same selected Veo model","Optional failure path","Same as original request","Second video job attempt","Same selected Veo price per second","Can double the Veo generation cost for that request","No extra storage unless retry succeeds and uploads output","src/app/api/generate-shot-video/route.js; src/app/api/generate-shot-video/promptBuilder.js","https://ai.google.dev/gemini-api/docs/pricing","Route retries once with an audio-safe prompt when filtered, so worst-case spend can be 2x before a success/failure response.","","Veo and Seedance video usage can be reduced with ComfyUI draft/previs and local final generation workflows","Wan2.2-I2V-A14B, Wan2.2-T2V-A14B, LTX-2.3-22B-dev","Wan2.2-TI2V-5B, HunyuanVideo, LTX-2.0, CogVideoX-5B","LTX-0.9.5, Mochi-1, Stable-Video-Diffusion-XT, AnimateDiff"
"6/26/26","Shot video generation","Generate shot video with Seedance","/api/generate-shot-video","Generate video through Seedance side provider, poll status, download output, upload","Seedance / ByteDance-compatible service","fetch(SEEDANCE_VIDEO_BASE_URL + '/generate'); fetch('/status'); fetch(videoUrl); supabase.storage upload","seedance-2.0 or seedance-2.0-fast","Optional provider selection","Prompt plus optional source image; provider bills per generated video/job","5s, 10s, or 15s video","Official ModelArk search snippet lists Dreamina Seedance 2.0 at ~$0.39-$0.86 per video generated; exact duration/model tiers should be verified in provider dashboard","Approx 5s $0.39; 10s ~$0.63; 15s $0.86","Supabase Storage upload and video bandwidth if configured","src/app/api/generate-shot-video/seedanceProvider.js; src/app/api/generate-shot-video/shotVideoConstants.js; src/utils/generationModels.js; .env.example","https://docs.byteplus.com/en/docs/ModelArk/1544106","Route default base URL is seedanceapi.org/v2 unless env overrides to ByteDance/ModelArk; pricing may differ by endpoint/vendor.","","Veo and Seedance video usage can be reduced with ComfyUI draft/previs and local final generation workflows","Wan2.2-I2V-A14B, Wan2.2-T2V-A14B, LTX-2.3-22B-dev","Wan2.2-TI2V-5B, HunyuanVideo, LTX-2.0, CogVideoX-5B","LTX-0.9.5, Mochi-1, Stable-Video-Diffusion-XT, AnimateDiff"
"6/26/26","Editor export","Start Shotstack render","/api/shotstack/render","Send timeline export payload to Python sidecar, which may call Shotstack","Python sidecar and likely Shotstack API","runShotstackPython('render', payload) -> fetch(PYTHON_SERVICE_URL + '/shotstack/render')","N/A","Optional editor export","0","Render minutes/job units outside repo","Shotstack pricing is account/plan/render-minute based; sidecar source not present in this repo","Unknown; depends on output duration, resolution, plan, and sidecar implementation","Python hosting plus Shotstack render charges if sidecar calls Shotstack","src/app/api/shotstack/render/route.js; src/utils/shotstack-python.js; src/components/EditorScreen.js; .env.example","https://shotstack.io/pricing/","The Next.js route only talks to PYTHON_SERVICE_URL. Audit the Python service for the exact Shotstack account/API call and render-minute pricing.","","Shotstack render costs are not model calls, but ComfyUI can optimize assets before/after render","Real-ESRGAN, RIFE, Video2X, Topaz-free alternatives via Comfy custom nodes","LTX-Video upscaling workflow, FILM interpolation, BasicSR","FFmpeg local render workflow, manual compression ladder, local thumbnail generation"
"6/26/26","Editor export","Poll Shotstack render status","/api/shotstack/render/[renderId]","Check render status through Python sidecar","Python sidecar and likely Shotstack API","runShotstackPython('status', { renderId }) -> fetch(PYTHON_SERVICE_URL + '/shotstack/status')","N/A","Optional while export is active","0","Status request count","Usually no token cost; Shotstack/API rate limits may apply by plan","$0.000 per poll from repo perspective","Python hosting/network only unless provider charges request fees","src/app/api/shotstack/render/[renderId]/route.js; src/utils/shotstack-python.js; src/components/EditorScreen.js","https://shotstack.io/pricing/","Frontend polls every few seconds while render is active, so account for sidecar/server load even if provider does not bill status calls separately.","","Shotstack render costs are not model calls, but ComfyUI can optimize assets before/after render","Real-ESRGAN, RIFE, Video2X, Topaz-free alternatives via Comfy custom nodes","LTX-Video upscaling workflow, FILM interpolation, BasicSR","FFmpeg local render workflow, manual compression ladder, local thumbnail generation"
"6/26/26","Editor export","Save Shotstack export metadata","/api/studio/save-shotstack-export","Persist render metadata/status in project state","Postgres via Prisma","prisma.project.update","N/A","Optional after render start/status changes","0","0","No AI token pricing","$0.00 ","Database hosting only","src/app/api/studio/save-shotstack-export/route.js; src/components/CanvasApp.js; src/hooks/useStudioBackend.js","N/A","No provider call.","","Shotstack render costs are not model calls, but ComfyUI can optimize assets before/after render","Real-ESRGAN, RIFE, Video2X, Topaz-free alternatives via Comfy custom nodes","LTX-Video upscaling workflow, FILM interpolation, BasicSR","FFmpeg local render workflow, manual compression ladder, local thumbnail generation"
"6/26/26","Payments and credits","Create Stripe Checkout Session","/api/checkout/session","Authenticate Supabase user, create Stripe checkout session for credit purchase","Supabase Auth plus Stripe","supabase.auth.getUser; stripe.checkout.sessions.create","N/A","Optional when buying credits","0","0","Stripe charges payment processing on successful payment, not AI tokens. US standard online card rate commonly 2.9% + $0.30; verify account country.","Session creation itself ~$0; successful payment fee example on $10 = ~$0.59","Supabase auth request plus payment processor fee on success","src/app/api/checkout/session/route.js; .env.example","https://stripe.com/pricing; https://supabase.com/pricing","Pricing varies by region/card/payment method. The user is assumed US per environment, but Stripe account country can change the rate.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Payments and credits","Stripe webhook credit update","/api/webhooks/stripe","Verify webhook signature, add credits via Supabase RPC, insert transaction row","Stripe plus Supabase","stripe.webhooks.constructEvent; supabase.rpc('add_credits'); supabase.from('transactions').insert","N/A","Required after successful payment if webhooks configured","0","0","No AI token pricing; Stripe processing fee already tied to payment","$0.000 extra per webhook from repo perspective","Supabase database/RPC storage","src/app/api/webhooks/stripe/route.js; src/utils/supabase-admin.js","https://stripe.com/pricing; https://supabase.com/pricing","Webhook delivery itself is not an AI/model cost.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Payments and credits","Optional credit manager helper","src/utils/credits.js","Check credits, deduct credits, record credit transaction","Supabase client","supabase.from('profiles').select; supabase.rpc('deduct_credits'); supabase.from('credit_transactions').insert","N/A","Optional/inactive helper depending imports","0","0","No AI token pricing","$0.00 ","Supabase database usage if called","src/utils/credits.js","https://supabase.com/pricing","Included even though active route usage was not found in the audited API flow.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Storage and database","Supabase admin storage for generated images/videos","Generated media routes","Upload generated image/video buffers to assets bucket and get public URL","Supabase Storage","createAdminClient().storage.from('assets').upload/getPublicUrl","N/A","Required in generated-media routes that persist assets","0","Uploaded bytes and later egress bytes","Supabase plan-based storage/bandwidth; Pro plan and included quotas/overage depend on current plan","Per-call $0 token cost; real money depends on GB stored and GB egress","Supabase Storage, bandwidth, and database quotas","src/app/api/generate-shot-image/route.js; src/app/api/generate-shot-video/route.js; src/app/api/generate-wardrobe-image/route.js; src/app/api/generate-character-anchor/route.js; src/utils/supabase-admin.js","https://supabase.com/pricing","Generated videos can dominate storage/egress. Track asset size and retention, not just model cost.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Storage and database","Local storage helper","src/utils/storage.js","Local filesystem upload/list/remove/getPublicUrl under public/uploads","Local filesystem","fs.writeFile; fs.readdir; fs.unlink","N/A","Required by studio upload/save routes","0","Disk bytes","No external API pricing","$0.000 from provider perspective","Local server disk/hosting storage only","src/utils/storage.js; src/app/api/studio/upload-audio/route.js; src/app/api/studio/save-character/route.js; src/app/api/studio/save-location/route.js; src/app/api/studio/save-wardrobe/route.js","N/A","This is not Supabase despite several comments saying Supabase. Production deployment must ensure public/uploads persistence.","","N/A - no paid AI model to optimize with ComfyUI","N/A","N/A","N/A"
"6/26/26","Frontend/internal API calls","Frontend studio backend calls","src/lib/backendClient.js","Browser fetches to studio routes for upload, analyze, extract, generate, save, build KB","Internal Next.js APIs","fetch('/api/...')","N/A wrapper","Required by studio UI","0 directly","0 directly","No provider pricing in client fetch itself","$0.000 + downstream route costs above","Browser/network/app hosting only","src/lib/backendClient.js; src/hooks/useStudioBackend.js","N/A","Included to make route triggers traceable from UI. Downstream route rows carry provider costs.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Frontend/internal API calls","Frontend shot plan calls","src/lib/shotPlanClient.js","Browser fetches to generate/save shot plan routes","Internal Next.js APIs","fetch('/api/generate-shot-list'); fetch('/api/studio/save-shot-plan'); fetch('/api/studio/save-shot-timing')","N/A wrapper","Required by shot-planning UI","0 directly","0 directly","No provider pricing in client fetch itself","$0.000 + downstream route costs above","Browser/network/app hosting only","src/lib/shotPlanClient.js","N/A","Generate-shot-list row carries AI cost; save rows are database-only.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Frontend/internal API calls","Frontend dashboard calls","src/lib/dashboardClient.js","Browser fetches to dashboard project CRUD routes","Internal Next.js APIs","fetch('/api/dashboard/projects...')","N/A wrapper","Required by dashboard UI","0 directly","0 directly","No provider pricing in client fetch itself","$0.000 + downstream route costs above","Browser/network/app hosting only","src/lib/dashboardClient.js","N/A","Dashboard rows above carry database/storage effects.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Frontend/internal API calls","Shot card placeholder image/video generation","src/hooks/useShotCardData.js","Local placeholder generation in UI state","Local React state only","generateImages; generateVideos callbacks","N/A","Optional UI placeholder path","0","0","No API pricing","$0.00 ","None","src/hooks/useShotCardData.js; src/components/shot/VideosTab.js","N/A","Important because similarly named functions do not call paid AI APIs in the current UI.","","See downstream route rows","See downstream route rows","See downstream route rows","See downstream route rows"
"6/26/26","Model configuration","Google fallback model lists","src/utils/googleModelFallbacks.js","Model default/fallback configuration for text, transcript, image, video","Google Gemini/Veo configuration","getFallbackModels; runWithModelFallback","Text: gemini-2.5-flash default; Image: gemini-3-pro-image-preview default; Video: veo-3.1-generate-preview default","Applies across routes","0","0","No direct cost; selected model changes row prices","$0.000 directly","None","src/utils/googleModelFallbacks.js; src/utils/generationModels.js; .env.example","https://ai.google.dev/gemini-api/docs/pricing","Current helper returns only the first configured/default model and logs fallback disabled. Do not budget retries across fallback arrays unless code is changed.","","Gemini, Veo, Seedream, and Seedance selections can be optimized per media-specific ComfyUI rows","Qwen3.5-9B, FLUX.2-Dev, Qwen-Image-2512, Wan2.2-I2V-A14B","Qwen3.5-4B, FLUX.1-dev, Qwen-Image, LTX-2.3-22B-dev","Qwen3.5-2B, FLUX.1-schnell, SDXL, Stable-Video-Diffusion-XT"
"6/26/26","Model configuration","Generation model selector","src/utils/generationModels.js","Selectable image/video provider and model catalog","Google, ByteDance, Seedance configuration","resolveImageModelOption; resolveVideoModelOption","Image: gemini-3-pro-image-preview, gemini-2.5-flash-image, seedream-4-0-250828; Video: veo-3.1, veo-3.1-fast, seedance-2.0, seedance-2.0-fast","Optional model selection","0","0","No direct cost; selected model changes row prices","$0.000 directly","None","src/utils/generationModels.js","https://ai.google.dev/gemini-api/docs/pricing; https://docs.byteplus.com/en/docs/ModelArk/1544106","Model choice is the main lever for image/video cost. The default image/video models are the higher-fidelity Google models.","","Gemini, Veo, Seedream, and Seedance selections can be optimized per media-specific ComfyUI rows","Qwen3.5-9B, FLUX.2-Dev, Qwen-Image-2512, Wan2.2-I2V-A14B","Qwen3.5-4B, FLUX.1-dev, Qwen-Image, LTX-2.3-22B-dev","Qwen3.5-2B, FLUX.1-schnell, SDXL, Stable-Video-Diffusion-XT"
